Title,Description,Assignee,Labels,Milestone,Priority,Estimate
"TICKET #1: Cliente TCP + Métricas","**Sprint:** 1\n**Componente:** Cliente\n**Estimación:** 5 Story Points\n**Stack:** Node.js + net + systeminformation\n\n**Descripción:**\nCliente TCP completo que envía métricas de disco cada 30 segundos.\n\n**Tareas:**\n- Socket TCP con `net.connect()` y reconexión básica\n- Métricas con `systeminformation.fsSize()`\n- Envío JSON cada 30s con `setInterval`\n- Recepción de mensajes servidor\n- Envío de ACKs\n\n**Criterios:**\n- [ ] Cliente conecta a servidor TCP\n- [ ] Envía métricas cada 30s\n- [ ] Recibe mensajes y responde ACK\n- [ ] Reconexión automática simple\n\n**Archivos:** client/index.js (~120 líneas todo en un archivo)","Persona1","component: client,priority: high,sprint-1","Sprint 1","High","5 SP"
"TICKET #2: README y Testing Cliente","**Sprint:** 2\n**Componente:** Cliente\n**Estimación:** 2 Story Points\n**Stack:** Markdown\n\n**Descripción:**\nDocumentación y pruebas manuales del cliente.\n\n**Tareas:**\n- README.md con instalación y uso\n- Guía de configuración (`clientId`, servidor)\n- Checklist de testing manual\n- Screenshots de consola\n\n**Criterios:**\n- [ ] README completo y claro\n- [ ] Instrucciones probadas\n- [ ] Ejemplos de salida\n\n**Archivos:** client/README.md, client/TESTING.md","Persona1","component: client,priority: low,sprint-2","Sprint 2","Low","2 SP"
"TICKET #3: Servidor TCP + Gestión Clientes","**Sprint:** 1\n**Componente:** Servidor\n**Estimación:** 5 Story Points\n**Stack:** Node.js + net.createServer\n\n**Descripción:**\nServidor TCP que acepta 3-5 clientes y gestiona conexiones.\n\n**Tareas:**\n- `net.createServer()` en puerto 5000\n- Array para gestionar clientes conectados\n- Identificar clientes por `clientId`\n- Recibir y procesar métricas\n- Enviar mensajes a clientes específicos\n- Procesar ACKs\n\n**Criterios:**\n- [ ] Acepta múltiples clientes simultáneos\n- [ ] Identifica y gestiona cada cliente\n- [ ] Procesa métricas recibidas\n- [ ] Envía mensajes bidireccionales\n\n**Archivos:** server/index.js (~150 líneas)","Persona2","component: server,priority: high,sprint-1","Sprint 1","High","5 SP"
"TICKET #4: MongoDB Setup y Persistencia","**Sprint:** 1\n**Componente:** Servidor/DB\n**Estimación:** 5 Story Points\n**Stack:** MongoDB + driver nativo\n\n**Descripción:**\nSetup MongoDB con 3 colecciones simples y persistencia de datos.\n\n**Tareas:**\n- Conexión MongoDB con driver nativo\n- 3 colecciones: `clients`, `metrics`, `messages`\n- CRUD básico (insert, find, update)\n- Guardar métricas en MongoDB\n- Guardar mensajes enviados\n- Registrar clientes conectados\n\n**Criterios:**\n- [ ] MongoDB conectado correctamente\n- [ ] Métricas se guardan en DB\n- [ ] Clientes registrados en DB\n- [ ] Mensajes persistidos\n\n**Archivos:** server/db.js (~100 líneas), server/init-db.js (script setup)","Persona2","component: server,priority: high,sprint-1","Sprint 1","High","5 SP"
"TICKET #5: API REST con Express","**Sprint:** 2\n**Componente:** Servidor\n**Estimación:** 4 Story Points\n**Stack:** Express.js + MongoDB\n\n**Descripción:**\nAPI REST simple para que React consuma datos.\n\n**Tareas:**\n- Express en puerto 3000\n- `GET /api/clients` - lista clientes activos\n- `GET /api/metrics` - últimas métricas\n- `GET /api/metrics/:clientId` - métricas de cliente\n- `POST /api/message` - enviar mensaje a cliente\n- CORS habilitado\n\n**Criterios:**\n- [ ] 4 endpoints funcionando\n- [ ] Respuestas JSON correctas\n- [ ] CORS configurado\n- [ ] Consultas a MongoDB\n\n**Archivos:** server/api.js (~120 líneas)","Persona2","component: server,priority: high,sprint-2","Sprint 2","High","4 SP"
"TICKET #6: README Servidor","**Sprint:** 2\n**Componente:** Servidor\n**Estimación:** 1 Story Point\n**Stack:** Markdown\n\n**Descripción:**\nDocumentación del servidor con arquitectura y API.\n\n**Tareas:**\n- README.md con setup MongoDB\n- Puertos y endpoints documentados\n- Estructura de colecciones MongoDB\n- Guía de testing\n\n**Criterios:**\n- [ ] Setup MongoDB explicado\n- [ ] API documentada con ejemplos\n- [ ] Testing manual explicado\n\n**Archivos:** server/README.md","Persona2","component: server,priority: low,sprint-2","Sprint 2","Low","1 SP"
"TICKET #7: React Setup + Dashboard Básico","**Sprint:** 1\n**Componente:** UI\n**Estimación:** 5 Story Points\n**Stack:** React + Vite\n\n**Descripción:**\nSetup React con Vite y dashboard simple con tabla de clientes.\n\n**Tareas:**\n- `npm create vite@latest` con React\n- Componente `Dashboard` con tabla\n- `fetch()` a `/api/clients` cada 5 segundos\n- Mostrar: ID, nombre, estado, última métrica\n- CSS simple (sin librerías)\n\n**Criterios:**\n- [ ] React + Vite funcionando\n- [ ] Tabla se actualiza automáticamente\n- [ ] Muestra clientes conectados\n- [ ] Diseño limpio y simple\n\n**Archivos:** ui/src/Dashboard.jsx, ui/src/App.jsx (~100 líneas total)","Persona3","component: ui,priority: high,sprint-1","Sprint 1","High","5 SP"
"TICKET #8: Gráficas con Chart.js","**Sprint:** 2\n**Componente:** UI\n**Estimación:** 4 Story Points\n**Stack:** React + react-chartjs-2\n\n**Descripción:**\nGráficas de métricas usando Chart.js integrado con React.\n\n**Tareas:**\n- Instalar `react-chartjs-2` y `chart.js`\n- Componente `MetricsChart`\n- Gráfica de barras: espacio usado/libre\n- Selector de cliente\n- Actualización automática cada 5s\n\n**Criterios:**\n- [ ] Gráfica renderiza correctamente\n- [ ] Se actualiza con nuevos datos\n- [ ] Permite seleccionar cliente\n- [ ] Visualización clara\n\n**Archivos:** ui/src/MetricsChart.jsx (~80 líneas)","Persona3","component: ui,priority: medium,sprint-2","Sprint 2","Medium","4 SP"
"TICKET #9: Formulario Envío Mensajes","**Sprint:** 2\n**Componente:** UI\n**Estimación:** 3 Story Points\n**Stack:** React\n\n**Descripción:**\nFormulario React para enviar mensajes a clientes.\n\n**Tareas:**\n- Componente `MessageForm`\n- Select con lista de clientes\n- Textarea para mensaje\n- `POST` a `/api/message`\n- Mostrar confirmación/error\n- Lista de mensajes enviados\n\n**Criterios:**\n- [ ] Formulario funcional\n- [ ] Envía mensajes correctamente\n- [ ] Validación básica\n- [ ] Feedback visual\n\n**Archivos:** ui/src/MessageForm.jsx (~70 líneas)","Persona3","component: ui,priority: medium,sprint-2","Sprint 2","Medium","3 SP"
"TICKET #10: README UI y Documentación Final","**Sprint:** 2\n**Componente:** UI\n**Estimación:** 2 Story Points\n**Stack:** Markdown\n\n**Descripción:**\nDocumentación completa de la UI y guía de testing del sistema.\n\n**Tareas:**\n- README.md UI con instalación Vite\n- Guía de componentes React\n- Testing end-to-end manual\n- Checklist de funcionalidades\n- Screenshots de la UI\n\n**Criterios:**\n- [ ] Setup UI documentado\n- [ ] Testing E2E explicado\n- [ ] Screenshots incluidos\n- [ ] Checklist completo\n\n**Archivos:** ui/README.md, docs/TESTING_FINAL.md","Persona3","component: ui,priority: low,sprint-2","Sprint 2","Low","2 SP"
